"atributo","efecto","grados_libertad","suma_cuadrados","media_cuadratica","F","p_valor","significativo_0.05"
"Intensidad de color","tratamiento",3,2.35294117647059,0.784313725490196,1.66233766233766,0.187582333142974,"No"
"Intensidad de color","panelista",16,13.1176470588235,0.819852941176471,1.73766233766233,0.0712103911619482,"No"
"Intensidad de color","Residuals",48,22.6470588235295,0.471813725490197,NA,NA,""
"Intensidad aromática","tratamiento",3,1.22058823529412,0.40686274509804,0.709401709401711,0.551144015862905,"No"
"Intensidad aromática","panelista",16,13.7647058823529,0.860294117647059,1.5,0.139134743149438,"No"
"Intensidad aromática","Residuals",48,27.5294117647059,0.573529411764706,NA,NA,""
"Frutal","tratamiento",3,0.764705882352941,0.254901960784314,0.433333333333334,0.730101102140705,"No"
"Frutal","panelista",16,30.2352941176471,1.88970588235294,3.21250000000001,0.000893236423388631,"Sí"
"Frutal","Residuals",48,28.235294117647,0.588235294117646,NA,NA,""
"Floral","tratamiento",3,1.57352941176471,0.524509803921569,0.926406926406926,0.435235997471116,"No"
"Floral","panelista",16,15.7647058823529,0.985294117647059,1.74025974025974,0.0706786313310355,"No"
"Floral","Residuals",48,27.1764705882353,0.566176470588236,NA,NA,""
"Herbáceo","tratamiento",3,1.33823529411765,0.44607843137255,1.26608695652174,0.296582621325191,"No"
"Herbáceo","panelista",16,20.3823529411765,1.27389705882353,3.61565217391304,0.000281250024993311,"Sí"
"Herbáceo","Residuals",48,16.9117647058824,0.352328431372549,NA,NA,""
"Tostado","tratamiento",3,1.47058823529411,0.490196078431372,0.681431005110732,0.567737452430361,"No"
"Tostado","panelista",16,16.8823529411765,1.05514705882353,1.46678023850085,0.152313279449733,"No"
"Tostado","Residuals",48,34.5294117647059,0.719362745098039,NA,NA,""
"Acidez","tratamiento",3,2.16176470588236,0.720588235294121,1.18907987866533,0.323858364236609,"No"
"Acidez","panelista",16,20.5588235294118,1.28492647058824,2.12032355915066,0.0230441411952003,"Sí"
"Acidez","Residuals",48,29.0882352941176,0.606004901960783,NA,NA,""
"Amargo","tratamiento",3,1.52941176470588,0.509803921568626,0.960739030023091,0.418949958151443,"No"
"Amargo","panelista",16,33.1176470588236,2.06985294117647,3.90069284064665,0.000126872397209845,"Sí"
"Amargo","Residuals",48,25.4705882352941,0.530637254901961,NA,NA,""
"Volumen en boca","tratamiento",3,2.98529411764704,0.99509803921568,1.81858902575587,0.156361730303335,"No"
"Volumen en boca","panelista",16,17.3823529411765,1.08639705882353,1.98544232922732,0.0344446859023018,"Sí"
"Volumen en boca","Residuals",48,26.2647058823529,0.547181372549019,NA,NA,""
"Dulzor","tratamiento",3,0.397058823529413,0.132352941176471,0.67924528301887,0.569049888619568,"No"
"Dulzor","panelista",16,27.9411764705882,1.74632352941176,8.9622641509434,1.47049869043349e-09,"Sí"
"Dulzor","Residuals",48,9.35294117647058,0.19485294117647,NA,NA,""
